id,source_type,source_id,relation,target_type,target_id,confidence,provenance
edge_0000001,Evidence,ev_cbc_000000_e3c501d9a1,FROM_SOURCE,Source,src_clinical_hematology_pdf,0.95,kb_pdf
edge_0000002,Evidence,ev_cbc_000000_e3c501d9a1,BELONGS_TO_PANEL,Panel,panel_cbc,1.0,kb_pdf
edge_0000003,Evidence,ev_cbc_000000_e3c501d9a1,MENTIONS_TOPIC,Topic,topic_anemia,0.8,kb_pdf
edge_0000004,Evidence,ev_cbc_000000_e3c501d9a1,MENTIONS_TOPIC,Topic,topic_bone_marrow,0.8,kb_pdf
edge_0000005,Evidence,ev_cbc_000000_e3c501d9a1,MENTIONS_TOPIC,Topic,topic_inflammation,0.8,kb_pdf
edge_0000006,Evidence,ev_cbc_000000_e3c501d9a1,SUPPORTS,Condition,cond_anemia,0.75,kb_pdf
edge_0000007,Evidence,ev_cbc_000000_e3c501d9a1,SUPPORTS,Condition,cond_bone_marrow_disorder,0.75,kb_pdf
edge_0000008,Evidence,ev_cbc_000000_e3c501d9a1,SUPPORTS,Condition,cond_inflammation,0.75,kb_pdf
edge_0000009,Evidence,ev_cbc_000000_e3c501d9a1,SUPPORTS,Condition,cond_iron_deficiency_anemia,0.75,kb_pdf
edge_0000010,Evidence,ev_cbc_000000_e3c501d9a1,SUPPORTS,Condition,cond_iron_store_abnormality,0.75,kb_pdf
edge_0000011,Evidence,ev_cbc_000001_fc6fab52bd,FROM_SOURCE,Source,src_clinical_hematology_pdf,0.95,kb_pdf
edge_0000012,Evidence,ev_cbc_000001_fc6fab52bd,BELONGS_TO_PANEL,Panel,panel_cbc,1.0,kb_pdf
edge_0000013,Evidence,ev_cbc_000001_fc6fab52bd,MENTIONS_TOPIC,Topic,topic_anemia,0.8,kb_pdf
edge_0000014,Evidence,ev_cbc_000001_fc6fab52bd,MENTIONS_TOPIC,Topic,topic_inflammation,0.8,kb_pdf
edge_0000015,Evidence,ev_cbc_000001_fc6fab52bd,SUPPORTS,Condition,cond_anemia,0.75,kb_pdf
edge_0000016,Evidence,ev_cbc_000001_fc6fab52bd,SUPPORTS,Condition,cond_inflammation,0.75,kb_pdf
edge_0000017,Evidence,ev_cbc_000001_fc6fab52bd,SUPPORTS,Condition,cond_iron_deficiency_anemia,0.75,kb_pdf
edge_0000018,Evidence,ev_cbc_000002_ddea81d8c4,FROM_SOURCE,Source,src_clinical_hematology_pdf,0.95,kb_pdf
edge_0000019,Evidence,ev_cbc_000002_ddea81d8c4,BELONGS_TO_PANEL,Panel,panel_cbc,1.0,kb_pdf
edge_0000020,Evidence,ev_cbc_000002_ddea81d8c4,MENTIONS_TOPIC,Topic,topic_anemia,0.8,kb_pdf
edge_0000021,Evidence,ev_cbc_000002_ddea81d8c4,MENTIONS_TOPIC,Topic,topic_infection,0.8,kb_pdf
edge_0000022,Evidence,ev_cbc_000002_ddea81d8c4,SUPPORTS,Condition,cond_anemia,0.75,kb_pdf
edge_0000023,Evidence,ev_cbc_000002_ddea81d8c4,SUPPORTS,Condition,cond_infection,0.75,kb_pdf
edge_0000024,Evidence,ev_cbc_000002_ddea81d8c4,SUPPORTS,Condition,cond_iron_store_abnormality,0.75,kb_pdf
edge_0000025,Evidence,ev_cbc_000003_5be95a2d44,FROM_SOURCE,Source,src_clinical_hematology_pdf,0.95,kb_pdf
edge_0000026,Evidence,ev_cbc_000003_5be95a2d44,BELONGS_TO_PANEL,Panel,panel_cbc,1.0,kb_pdf
edge_0000027,Evidence,ev_cbc_000003_5be95a2d44,MENTIONS_TEST,Test,test_HCT,0.95,kb_pdf
edge_0000028,Test,test_HCT,BELONGS_TO_PANEL,Panel,panel_cbc,1.0,ontology
edge_0000029,Evidence,ev_cbc_000003_5be95a2d44,MENTIONS_TOPIC,Topic,topic_anemia,0.8,kb_pdf
edge_0000030,Evidence,ev_cbc_000003_5be95a2d44,MENTIONS_TOPIC,Topic,topic_bleeding,0.8,kb_pdf
edge_0000031,Evidence,ev_cbc_000003_5be95a2d44,MENTIONS_TOPIC,Topic,topic_inflammation,0.8,kb_pdf
edge_0000032,Evidence,ev_cbc_000003_5be95a2d44,SUPPORTS,Condition,cond_anemia,0.75,kb_pdf
edge_0000033,Evidence,ev_cbc_000003_5be95a2d44,SUPPORTS,Condition,cond_bleeding_risk,0.75,kb_pdf
edge_0000034,Evidence,ev_cbc_000003_5be95a2d44,SUPPORTS,Condition,cond_inflammation,0.75,kb_pdf
edge_0000035,Evidence,ev_cbc_000003_5be95a2d44,SUPPORTS,Condition,cond_iron_store_abnormality,0.75,kb_pdf
edge_0000036,Evidence,ev_cbc_000004_66b952db9d,FROM_SOURCE,Source,src_clinical_hematology_pdf,0.95,kb_pdf
edge_0000037,Evidence,ev_cbc_000004_66b952db9d,BELONGS_TO_PANEL,Panel,panel_cbc,1.0,kb_pdf
edge_0000038,Evidence,ev_cbc_000004_66b952db9d,MENTIONS_TOPIC,Topic,topic_anemia,0.8,kb_pdf
edge_0000039,Evidence,ev_cbc_000004_66b952db9d,SUPPORTS,Condition,cond_anemia,0.75,kb_pdf
edge_0000040,Evidence,ev_cbc_000004_66b952db9d,SUPPORTS,Condition,cond_renal_impairment,0.75,kb_pdf
edge_0000041,Evidence,ev_cbc_000005_e9d554dcdb,FROM_SOURCE,Source,src_clinical_hematology_pdf,0.95,kb_pdf
edge_0000042,Evidence,ev_cbc_000005_e9d554dcdb,BELONGS_TO_PANEL,Panel,panel_cbc,1.0,kb_pdf
edge_0000043,Evidence,ev_cbc_000005_e9d554dcdb,MENTIONS_TEST,Test,test_HCT,0.95,kb_pdf
edge_0000044,Evidence,ev_cbc_000005_e9d554dcdb,MENTIONS_TEST,Test,test_HGB,0.95,kb_pdf
edge_0000045,Test,test_HGB,BELONGS_TO_PANEL,Panel,panel_cbc,1.0,ontology
edge_0000046,Evidence,ev_cbc_000005_e9d554dcdb,MENTIONS_TEST,Test,test_RBC,0.95,kb_pdf
edge_0000047,Test,test_RBC,BELONGS_TO_PANEL,Panel,panel_cbc,1.0,ontology
edge_0000048,Evidence,ev_cbc_000005_e9d554dcdb,MENTIONS_TOPIC,Topic,topic_inflammation,0.8,kb_pdf
edge_0000049,Evidence,ev_cbc_000005_e9d554dcdb,SUPPORTS,Condition,cond_inflammation,0.75,kb_pdf
edge_0000050,Evidence,ev_cbc_000006_6d017e546b,FROM_SOURCE,Source,src_clinical_hematology_pdf,0.95,kb_pdf
edge_0000051,Evidence,ev_cbc_000006_6d017e546b,BELONGS_TO_PANEL,Panel,panel_cbc,1.0,kb_pdf
edge_0000052,Evidence,ev_cbc_000006_6d017e546b,MENTIONS_TEST,Test,test_HGB,0.95,kb_pdf
edge_0000053,Evidence,ev_cbc_000006_6d017e546b,MENTIONS_TOPIC,Topic,topic_anemia,0.8,kb_pdf
edge_0000054,Evidence,ev_cbc_000006_6d017e546b,MENTIONS_TOPIC,Topic,topic_bleeding,0.8,kb_pdf
edge_0000055,Evidence,ev_cbc_000006_6d017e546b,SUPPORTS,Condition,cond_anemia,0.75,kb_pdf
edge_0000056,Evidence,ev_cbc_000006_6d017e546b,SUPPORTS,Condition,cond_bleeding_risk,0.75,kb_pdf
edge_0000057,Evidence,ev_cbc_000006_6d017e546b,SUPPORTS,Condition,cond_iron_deficiency_anemia,0.75,kb_pdf
