id,name
topic_anemia,anemia
topic_bone_marrow,bone_marrow
topic_inflammation,inflammation
topic_infection,infection
topic_bleeding,bleeding
topic_polycythemia,polycythemia
topic_coagulation,coagulation
topic_thalassemia,thalassemia
topic_electrolyte_disorder,electrolyte_disorder
topic_renal_function,renal_function
topic_diabetes,diabetes
topic_liver_injury,liver_injury
topic_purine_metabolism,purine_metabolism
topic_dyslipidemia,dyslipidemia
topic_protein_nutrition,protein_nutrition
topic_bone_mineral,bone_mineral
topic_iron_metabolism,iron_metabolism
topic_cardiac_biomarker,cardiac_biomarker
